,roundinfo_id,fight_id,fight_round,fighter_id,kd,sig_str_made,sig_str_attempted,sig_str_percent,total_str_made,total_str_attempted,td_made,td_attempted,td_percent,pass,rev,head_attempted,head_made,body_attempted,body_made,leg_attempted,leg_made,distance_attempted,distance_made,clinch_attempted,clinch_made,ground_attempted
22808,14253,1,6694,0,7,12,58,18,23,2,2,100,1,0,6,1,4,4,2,2,8,3,3,3,1,1
22809,14253,1,6761,0,1,3,33,4,6,0,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0
22810,14254,1,6749,0,11,25,44,17,31,0,0,0,0,0,14,2,6,5,5,4,19,7,6,4,0,0
22811,14254,1,6434,0,30,85,35,31,86,0,2,0,0,0,58,16,22,10,5,4,59,11,26,19,0,0
22812,14254,2,6749,0,1,2,50,1,2,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0
22813,14254,2,6434,1,11,22,50,14,25,0,0,0,1,0,20,9,0,0,2,2,8,3,0,0,14,8
22814,14255,1,6545,0,4,7,57,8,11,3,4,75,2,0,4,2,1,1,2,1,4,1,1,1,2,2
22815,14255,1,6655,0,0,4,0,6,10,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,1,0
22816,14256,1,6438,0,40,64,62,47,72,1,1,100,0,0,31,7,13,13,20,20,56,32,8,8,0,0
22817,14256,1,6762,0,20,65,30,21,66,0,1,0,0,0,41,2,8,5,16,13,62,17,3,3,0,0
22818,14256,2,6438,0,23,41,56,30,48,0,0,0,0,0,18,4,7,6,16,13,33,16,8,7,0,0
22819,14256,2,6762,0,15,37,40,16,38,0,6,0,0,0,19,3,5,2,13,10,29,9,8,6,0,0
22820,14256,3,6438,0,17,32,53,32,49,0,0,0,0,0,24,9,5,5,3,3,28,13,4,4,0,0
22821,14256,3,6762,0,16,27,59,20,31,2,6,33,0,0,10,2,2,2,15,12,17,8,10,8,0,0
22822,14257,1,6409,0,20,34,58,27,41,0,10,0,1,0,22,9,8,8,4,3,14,5,17,12,3,3
22823,14257,1,6719,0,15,27,55,19,31,1,1,100,0,0,22,10,2,2,3,3,13,4,14,11,0,0
22824,14257,2,6409,0,16,30,53,34,49,2,3,66,1,0,23,10,5,5,2,1,17,5,5,4,8,7
22825,14257,2,6719,0,6,11,54,7,13,0,0,0,0,1,10,5,1,1,0,0,8,3,1,1,2,2
22826,14257,3,6409,0,5,9,55,11,15,0,0,0,0,0,5,1,4,4,0,0,3,0,5,4,1,1
22827,14257,3,6719,0,21,25,84,38,43,2,2,100,0,0,23,19,2,2,0,0,4,1,1,1,20,19
22828,14258,1,5765,0,18,27,66,22,31,0,0,0,0,0,17,8,7,7,3,3,18,10,9,8,0,0
22829,14258,1,5992,0,12,27,44,23,38,0,1,0,0,0,22,7,5,5,0,0,19,6,8,6,0,0
22830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22831,14258,2,5992,0,4,16,25,4,16,0,0,0,0,0,16,4,0,0,0,0,16,4,0,0,0,0
22832,14259,1,5752,1,16,29,55,16,30,0,0,0,0,0,29,16,0,0,0,0,17,8,1,0,11,8
22833,14259,1,6701,0,3,19,15,3,19,0,0,0,0,0,12,1,3,0,4,2,18,3,1,0,0,0
22834,14260,1,5966,0,21,67,31,22,68,0,2,0,0,0,59,15,7,5,1,1,66,20,1,1,0,0
22835,14260,1,5460,0,17,68,25,17,68,0,0,0,0,0,54,9,8,6,6,2,64,14,4,3,0,0
22836,14260,2,5966,0,19,60,31,19,60,0,2,0,0,0,55,16,3,1,2,2,60,19,0,0,0,0
22837,14260,2,5460,1,22,68,32,22,68,0,0,0,0,0,56,12,9,9,3,1,66,21,1,1,1,0
22838,14260,3,5966,0,20,59,33,21,60,0,2,0,0,0,52,16,3,1,4,3,58,20,1,0,0,0
22839,14260,3,5460,0,16,54,29,16,54,0,1,0,0,0,40,8,11,7,3,1,51,14,3,2,0,0
22840,14261,1,6382,1,15,35,42,17,37,0,2,0,0,0,31,12,4,3,0,0,30,11,4,3,1,1
22841,14261,1,6477,0,11,45,24,11,46,0,0,0,0,0,39,7,3,3,3,1,40,8,5,3,0,0
22842,14262,1,6683,0,15,46,32,16,47,0,0,0,0,0,38,7,2,2,6,6,44,15,2,0,0,0
22843,14262,1,6463,1,29,51,56,30,52,0,1,0,0,0,51,29,0,0,0,0,35,18,6,4,10,7
22844,14263,1,6273,0,3,8,37,42,51,2,5,40,0,0,7,2,1,1,0,0,8,3,0,0,0,0
22845,14263,1,6709,0,3,8,37,26,32,0,0,0,0,0,6,1,1,1,1,1,7,2,1,1,0,0
22846,14263,2,6273,0,7,18,38,67,89,1,2,50,0,0,17,6,1,1,0,0,2,1,0,0,16,6
